EOG0915014Q	utg000027l	1346521	1360011
EOG0915014U	utg000026l	10782715	10794532
EOG09150AJT	utg000003l	281413	292631
EOG09150AJU	utg000001l	3372289	3382691
EOG0915014Y	utg000014l	2947048	2958563
EOG09150090	utg000051l	379857	394769
EOG0915014B	utg000003l	8223418	8234980
EOG09150AJH	utg000029l	3815655	3825799
EOG09150AJI	utg000003l	341293	352012
EOG0915014E	utg000001l	287228	299029
EOG0915014K	utg000001l	411379	423971
EOG0915078A	utg000052l	905672	916838
EOG0915078C	utg000029l	3645316	3656164
EOG0915078G	utg000014l	2896043	2906845
EOG0915078M	utg000053l	936185	947649
EOG0915078O	utg000028l	1715648	1726662
EOG0915078Q	utg000010l	1544243	1555280
EOG0915035P	utg000033l	1241111	1252644
EOG091501F0	utg000003l	4713375	4726338
EOG091501F6	utg000001l	3349652	3361925
EOG091501FK	utg000027l	2466455	2478640
EOG091501FM	utg000031l	1688608	1700767
EOG091501FN	utg000031l	2056106	2068637
EOG091507FT	utg000027l	2823505	2833800
EOG091501FF	utg000001l	4243332	4255760
EOG09150781	utg000002l	10685553	10709744
EOG09150784	utg000052l	307600	318878
EOG09150785	utg000028l	71210	82295
EOG091501FP	utg000019l	690234	702446
EOG09150789	utg000004l	141005	152375
EOG091501FR	utg000032l	5213612	5225516
EOG091501FT	utg000034l	1292102	1306396
EOG091507FA	utg000019l	1169124	1179999
EOG09150142	utg000002l	14224688	14235192
EOG09150143	utg000031l	2001217	2014248
EOG0915009X	utg000051l	1883549	1900436
EOG0915009Y	utg000003l	2098006	2109863
EOG09150145	utg000003l	2774373	2785973
EOG0915009U	utg000003l	7214055	7229033
EOG09150148	utg000067l	109154	122155
EOG0915009W	utg000019l	1147815	1163759
EOG0915009L	utg000052l	999764	1010987
EOG09150E95	utg000027l	2438940	2454181
EOG0915009N	utg000009l	243328	258646
EOG0915009H	utg000026l	3920019	3934034
EOG0915009K	utg000001l	2887586	2901429
EOG0915009E	utg000029l	2075511	2089665
EOG091509NT	utg000051l	1690719	1700857
EOG091509NU	utg000032l	1382595	1392963
EOG09150AX2	utg000003l	6815065	6825502
EOG091500H9	utg000052l	920370	933905
EOG09150AD6	utg000042l	41030	52284
EOG091500H4	utg000002l	9648105	9660456
EOG091500H1	utg000026l	324478	337104
EOG0915055A	utg000008l	730566	741702
EOG0915055K	utg000014l	3177916	3188918
EOG091502L5	utg000004l	996499	1008087
EOG091506YP	utg000026l	3010449	3021286
EOG091506YM	utg000001l	6558747	6569660
EOG091500MY	utg000031l	1110103	1123694
EOG0915055Y	utg000029l	4155102	4166183
EOG091506YE	utg000002l	4933863	4944792
EOG091502LX	utg000023l	462222	474077
EOG091506KP	utg000002l	5363333	5374194
EOG091506Y8	utg000085l	112009	122602
EOG091506Y6	utg000014l	1374648	1386678
EOG091502LP	utg000067l	670784	682035
EOG091506Y4	utg000023l	2537588	2547961
EOG091502LT	utg000008l	250311	261194
EOG091502LW	utg000014l	3500726	3517988
EOG091502LW	utg000010l	667219	678643
EOG091506Y1	utg000031l	782374	794315
EOG0915056O	utg000002l	2580200	2591096
EOG09150554	utg000002l	13809766	13820839
EOG09150557	utg000015l	140188	155532
EOG091502LC	utg000026l	6345713	6357593
EOG091500T4	utg000002l	5823732	5835908
EOG09150CTM	utg000002l	2159896	2170250
EOG091500HO	utg000010l	3602560	3615527
EOG09150AXD	utg000019l	1386851	1397195
EOG091500HL	utg000041l	1583035	1595008
EOG091500HK	utg000028l	475276	490010
EOG09150GDQ	utg000011l	881443	891748
EOG091500HI	utg000011l	3130635	3143273
EOG091500HG	utg000019l	1005599	1018723
EOG091504CP	utg000001l	425108	436294
EOG09150AXU	utg000003l	902984	913394
EOG091500HZ	utg000003l	935209	946757
EOG091500HZ	utg000001l	2889275	2900741
EOG091500HW	utg000004l	107408	121287
EOG091500HV	utg000027l	351984	368087
EOG091500HU	utg000028l	701286	716058
EOG091500HT	utg000019l	1305770	1320713
EOG091504CF	utg000067l	860920	871844
